ID,Gene.symbol,Gene.title,log2_fold_change,.-log10(Pvalue)(Infiltrating ductal carcinoma vs Normal),adj.P.Val
200728_at,ACTR2,ARP2 actin related protein 2 homolog,0.683,3.027,0.00414
200729_s_at,ACTR2,ARP2 actin related protein 2 homolog,1.074,3.902,0.00414
200750_s_at,RAN,"RAN, member RAS oncogene family",1.67,4.126,0.00282
200751_s_at,HNRNPC,heterogeneous nuclear ribonucleoprotein C (C1/C2),1.225,4.186,0.00103
200754_x_at,MIR636///SRSF2,microRNA 636///serine and arginine rich splicing factor 2,0.824,5.082,0.00051
200758_s_at,NFE2L1,"nuclear factor, erythroid 2 like 1",-0.478,3.049,0.018
200766_at,CTSD,cathepsin D,0.842,2.481,0.0456
200770_s_at,LAMC1,laminin subunit gamma 1,-0.747,3.422,0.00959
200775_s_at,HNRNPK,heterogeneous nuclear ribonucleoprotein K,0.752,3.454,0.00909
200806_s_at,HSPD1,heat shock protein family D (Hsp60) member 1,0.854,2.534,0.0419
200821_at,LAMP2,lysosomal associated membrane protein 2,1.25,3.326,0.0113
200843_s_at,EPRS,glutamyl-prolyl-tRNA synthetase,0.766,3.016,0.019
200844_s_at,PRDX6,peroxiredoxin 6,-0.845,5.712,0.000171
200846_s_at,PPP1CA,protein phosphatase 1 catalytic subunit alpha,0.769,3.792,0.00505
200851_s_at,IST1,"IST1, ESCRT-III associated factor",0.918,3.158,0.0149
200853_at,H2AFZ,H2A histone family member Z,0.639,3.865,0.000578
200862_at,DHCR24,24-dehydrocholesterol reductase,0.615,3.152,0.0151
200863_s_at,RAB11A,"RAB11A, member RAS oncogene family",0.485,2.898,0.0233
200875_s_at,MIR1292///SNORD110///SNORD86///SNORD57///NOP56,"microRNA 1292///small nucleolar RNA, C/D box 110///small nucleolar RNA, C/D box 86///small nucleolar RNA, C/D box 57///NOP56 ribonucleoprotein",0.53,3.39,0.0101
200878_at,EPAS1,endothelial PAS domain protein 1,-1.535,5.962,0.000105
200893_at,TRA2B,transformer 2 beta homolog (Drosophila),0.518,3.309,0.0115
200895_s_at,FKBP4,FK506 binding protein 4,1.065,5.294,0.000358
200903_s_at,AHCY,adenosylhomocysteinase,0.885,3.681,0.0061
200910_at,LOC101927137///CCT3,uncharacterized LOC101927137///chaperonin containing TCP1 subunit 3,0.965,5.213,0.000414
200911_s_at,TACC1,transforming acidic coiled-coil containing protein 1,-0.79,4.493,0.00142
200943_at,HMGN1,high mobility group nucleosome binding domain 1,1.059,4.68,0.00104
200944_s_at,LOC101927733///HMGN1,uncharacterized LOC101927733///high mobility group nucleosome binding domain 1,0.91,9.437,0.000000181
200959_at,FUS,FUS RNA binding protein,0.684,3.389,0.0101
200961_at,SEPHS2,selenophosphate synthetase 2,0.502,3.173,0.0145
200964_at,UBA1,ubiquitin like modifier activating enzyme 1,1.053,3.642,0.00652
200968_s_at,PPIB,peptidylprolyl isomerase B,1.068,3.142,0.0154
200973_s_at,TSPAN3,tetraspanin 3,-1.285,4.394,0.00172
200977_s_at,TAX1BP1,Tax1 binding protein 1,0.609,3.476,0.00193
200986_at,SERPING1,serpin family G member 1,-0.813,2.457,0.0472
200989_at,HIF1A,hypoxia inducible factor 1 alpha subunit,0.565,3.723,0.00565
200996_at,ACTR3,ARP3 actin related protein 3 homolog,0.914,4.807,0.000825
200997_at,RBM14-RBM4///RBM4,RBM14-RBM4 readthrough///RNA binding motif protein 4,0.875,2.581,0.00497
201004_at,SSR4,signal sequence receptor subunit 4,0.53,3.044,0.0181
201005_at,CD9,CD9 molecule,2.745,9.475,0.000000174
201008_s_at,TXNIP,thioredoxin interacting protein,-1.124,3.094,0.0166
201010_s_at,TXNIP,thioredoxin interacting protein,-0.539,2.583,0.0166
201011_at,RPN1,ribophorin I,0.643,3.316,0.0115
201012_at,ANXA1,annexin A1,-0.672,3.565,0.00747
201013_s_at,PAICS,phosphoribosylaminoimidazole carboxylase; phosphoribosylaminoimidazolesuccinocarboxamide synthase,0.459,2.57,0.00468
201014_s_at,PAICS,phosphoribosylaminoimidazole carboxylase; phosphoribosylaminoimidazolesuccinocarboxamide synthase,0.819,3.832,0.00468
201015_s_at,JUP,junction plakoglobin,0.885,3.873,0.00432
201030_x_at,LDHB,lactate dehydrogenase B,-0.616,2.49,0.0449
201031_s_at,HNRNPH1,heterogeneous nuclear ribonucleoprotein H1 (H),0.566,4.301,0.00203
201036_s_at,HADH,hydroxyacyl-CoA dehydrogenase,-0.692,3.312,0.0115
201037_at,PFKP,"phosphofructokinase, platelet",0.745,2.476,0.046
201041_s_at,DUSP1,dual specificity phosphatase 1,-0.889,3.167,0.0147
201074_at,SMARCC1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1",1.024,4.631,0.00113
201079_at,SYNGR2,synaptogyrin 2,0.851,3.674,0.00618
201083_s_at,BCLAF1,BCL2 associated transcription factor 1,1.4,4.432,0.0016
201088_at,KPNA2,karyopherin subunit alpha 2,0.572,3.202,0.00229
201091_s_at,CBX3,chromobox 3,0.917,3.736,0.00555
201092_at,RBBP7,"RB binding protein 7, chromatin remodeling factor",0.483,3.313,0.0115
201096_s_at,ARF4,ADP ribosylation factor 4,0.663,3.132,0.0156
201105_at,LGALS1,galectin 1,-0.848,2.666,0.0339
201106_at,GPX4,glutathione peroxidase 4,-0.88,2.567,0.0399
201110_s_at,THBS1,thrombospondin 1,1.02,3.712,0.00577
201111_at,CSE1L,chromosome segregation 1 like,0.712,5.503,0.000244
201113_at,TUFM,"Tu translation elongation factor, mitochondrial",0.636,2.728,0.0306
201131_s_at,CDH1,cadherin 1,2.409,11.321,6.26E-09
201136_at,PLP2,proteolipid protein 2,0.948,6.715,0.0000254
201150_s_at,TIMP3,TIMP metallopeptidase inhibitor 3,-0.857,3.543,0.00775
201196_s_at,AMD1,adenosylmethionine decarboxylase 1,0.734,3.286,0.0119
201197_at,AMD1,adenosylmethionine decarboxylase 1,0.605,3.189,0.0119
201202_at,PCNA,proliferating cell nuclear antigen,1.258,6.94,0.0000164
201219_at,CTBP2,C-terminal binding protein 2,0.767,3.659,0.00599
201242_s_at,ATP1B1,ATPase Na+/K+ transporting subunit beta 1,1.178,6.134,0.00000319
201243_s_at,ATP1B1,ATPase Na+/K+ transporting subunit beta 1,1.096,7.835,0.00000319
201247_at,SREBF2,sterol regulatory element binding transcription factor 2,0.65,3.483,0.00859
201251_at,PKM,"pyruvate kinase, muscle",0.633,2.449,0.0477
201263_at,TARS,threonyl-tRNA synthetase,0.907,2.422,0.0499
201268_at,NME1-NME2///NME2,NME1-NME2 readthrough///NME/NM23 nucleoside diphosphate kinase 2,0.786,3.483,0.00859
201273_s_at,SRP9,signal recognition particle 9,0.919,4.938,0.000656
201274_at,PSMA5,proteasome subunit alpha 5,1.739,5.617,0.000202
201275_at,FDPS,farnesyl diphosphate synthase,1.184,3.71,0.00579
201277_s_at,HNRNPAB,heterogeneous nuclear ribonucleoprotein A/B,1.315,4.649,0.0011
201286_at,SDC1,syndecan 1,2.194,12.695,6.37E-10
201287_s_at,SDC1,syndecan 1,0.646,3.65,6.37E-10
201291_s_at,TOP2A,topoisomerase (DNA) II alpha,1.299,4.981,0.000606
201292_at,TOP2A,topoisomerase (DNA) II alpha,1.094,3.633,0.000606
201293_x_at,LOC101060363///PPIA,peptidyl-prolyl cis-trans isomerase A pseudogene///peptidylprolyl isomerase A,0.492,2.564,0.03
201301_s_at,ANXA4,annexin A4,1.286,5.238,0.000399
201310_s_at,NREP,neuronal regeneration related protein,0.655,3.27,0.0123
201311_s_at,SH3BGRL,SH3 domain binding glutamate rich protein like,0.743,3.103,0.0164
201324_at,EMP1,epithelial membrane protein 1,-0.829,3.663,0.00211
201325_s_at,EMP1,epithelial membrane protein 1,-1.139,4.284,0.00211
201327_s_at,CCT6A,chaperonin containing TCP1 subunit 6A,0.866,5.779,0.00015
201330_at,RARS,arginyl-tRNA synthetase,0.702,3.066,0.0174
201340_s_at,ENC1,ectodermal-neural cortex 1,1.373,5.95,0.000107
201348_at,GPX3,glutathione peroxidase 3,-1.177,6.272,0.0000592
201358_s_at,COPB1,coatomer protein complex subunit beta 1,0.422,2.49,0.0449
201362_at,IVNS1ABP,influenza virus NS1A binding protein,0.558,2.635,0.0000402
201363_s_at,IVNS1ABP,influenza virus NS1A binding protein,1.31,6.472,0.0000402
201377_at,UBAP2L,ubiquitin associated protein 2 like,0.678,2.783,0.000291
201378_s_at,UBAP2L,ubiquitin associated protein 2 like,0.779,5.401,0.000291
201381_x_at,CACYBP,calcyclin binding protein,0.782,2.771,0.0288
201385_at,DHX15,DEAH-box helicase 15,1.255,4.667,0.00106
201407_s_at,PPP1CB,protein phosphatase 1 catalytic subunit beta,0.594,2.831,0.00379
201409_s_at,PPP1CB,protein phosphatase 1 catalytic subunit beta,0.784,3.951,0.00379
201416_at,SOX4,SRY-box 4,0.821,5.581,0.000000541
201417_at,SOX4,SRY-box 4,2.156,8.77,0.000000541
201425_at,ALDH2,aldehyde dehydrogenase 2 family (mitochondrial),-0.889,3.299,0.0117
201426_s_at,VIM,vimentin,-1.055,2.761,0.0292
201432_at,CAT,catalase,-0.721,4.67,0.00106
201433_s_at,PTDSS1,phosphatidylserine synthase 1,0.392,2.703,0.0318
201443_s_at,ATP6AP2,ATPase H+ transporting accessory protein 2,0.499,2.54,0.0415
201447_at,TIA1,TIA1 cytotoxic granule-associated RNA binding protein,0.609,3.741,0.00000016
201448_at,TIA1,TIA1 cytotoxic granule-associated RNA binding protein,1.893,7.81,0.00000016
201449_at,TIA1,TIA1 cytotoxic granule-associated RNA binding protein,0.397,2.547,0.00000016
201450_s_at,TIA1,TIA1 cytotoxic granule-associated RNA binding protein,1.404,9.52,0.00000016
201456_s_at,BUB3,"BUB3, mitotic checkpoint protein",0.48,3.254,0.00193
201458_s_at,BUB3,"BUB3, mitotic checkpoint protein",1.215,4.327,0.00193
201464_x_at,JUN,"Jun proto-oncogene, AP-1 transcription factor subunit",-0.73,2.78,0.00000678
201465_s_at,JUN,"Jun proto-oncogene, AP-1 transcription factor subunit",-1.964,7.413,0.00000678
201466_s_at,JUN,"Jun proto-oncogene, AP-1 transcription factor subunit",-0.619,2.748,0.00000678
201478_s_at,MIR664B///SNORA56///DKC1,"microRNA 664b///small nucleolar RNA, H/ACA box 56///dyskerin pseudouridine synthase 1",0.76,3.271,0.00012
201479_at,MIR664B///SNORA56///DKC1,"microRNA 664b///small nucleolar RNA, H/ACA box 56///dyskerin pseudouridine synthase 1",0.85,5.895,0.00012
201485_s_at,RCN2,reticulocalbin 2,0.664,3.684,0.00607
201489_at,PPIF,peptidylprolyl isomerase F,0.595,2.58,0.0389
201493_s_at,PUM2,pumilio RNA binding family member 2,0.89,4.565,0.00127
201503_at,G3BP1,G3BP stress granule assembly factor 1,0.561,3.687,0.00605
201518_at,CBX1,chromobox 1,0.516,4.067,0.00313
201532_at,PSMA3,proteasome subunit alpha 3,0.993,2.743,0.0301
201533_at,CTNNB1,catenin beta 1,0.469,3.734,0.00558
201539_s_at,FHL1,four and a half LIM domains 1,-1.171,5.181,1.41E-08
201540_at,FHL1,four and a half LIM domains 1,-0.938,5.595,1.41E-08
201549_x_at,KDM5B,lysine demethylase 5B,0.486,3.582,0.00724
201550_x_at,ACTG1///ACTB,actin gamma 1///actin beta,0.531,3.315,0.0115
201558_at,RAE1,ribonucleic acid export 1,0.484,3.306,0.0116
201561_s_at,CLSTN1,calsyntenin 1,0.799,3.413,0.00974
201577_at,NME1,NME/NM23 nucleoside diphosphate kinase 1,0.592,2.895,0.0234
201586_s_at,SFPQ,splicing factor proline and glutamine rich,0.608,2.735,0.0304
201589_at,SMC1A,structural maintenance of chromosomes 1A,0.618,3.974,0.00367
201592_at,EIF3H,eukaryotic translation initiation factor 3 subunit H,0.53,2.828,0.0262
201593_s_at,ZC3H15,zinc finger CCCH-type containing 15,0.793,2.961,0.0209
201596_x_at,KRT18,keratin 18,2.867,13.022,4.03E-10
201599_at,OAT,ornithine aminotransferase,0.532,2.58,0.0389
201614_s_at,RUVBL1,RuvB like AAA ATPase 1,0.84,2.948,0.0213
201629_s_at,ACP1,"acid phosphatase 1, soluble",0.798,4.065,0.00313
201631_s_at,IER3,immediate early response 3,0.706,4.085,0.00302
201644_at,TSTA3,tissue specific transplantation antigen P35B,0.747,3.617,0.00285
201645_at,TNC,tenascin C,0.608,2.501,0.0442
201650_at,KRT19,keratin 19,4.869,14.132,4.72E-11
201662_s_at,ACSL3,acyl-CoA synthetase long-chain family member 3,0.67,4.026,0.00333
201663_s_at,SMC4,structural maintenance of chromosomes 4,0.853,2.799,0.000012
201664_at,SMC4,structural maintenance of chromosomes 4,1.571,7.11,0.000012
201669_s_at,MARCKS,myristoylated alanine rich protein kinase C substrate,0.677,3.431,0.00945
201681_s_at,DLG5,discs large MAGUK scaffold protein 5,0.609,3.484,0.00859
201689_s_at,TPD52,tumor protein D52,1.516,6.556,0.00000048
201690_s_at,TPD52,tumor protein D52,1.329,8.867,0.00000048
201691_s_at,TPD52,tumor protein D52,0.961,3.597,0.00000048
201693_s_at,EGR1,early growth response 1,-0.652,2.857,0.025
201699_at,PSMC6,"proteasome 26S subunit, ATPase 6",0.861,2.506,0.0439
201704_at,ENTPD6,ectonucleoside triphosphate diphosphohydrolase 6 (putative),0.711,3.634,0.00662
201711_x_at,RANBP2,RAN binding protein 2,0.943,4.603,0.00119
201719_s_at,EPB41L2,erythrocyte membrane protein band 4.1 like 2,-1.176,6.065,0.0000856
201724_s_at,GALNT1,polypeptide N-acetylgalactosaminyltransferase 1,0.816,4.763,0.000896
201761_at,MTHFD2,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase",1.402,6.832,0.0000201
201762_s_at,MIR7703///PSME2,microRNA 7703///proteasome activator subunit 2,0.869,5.799,0.000146
201773_at,ADNP,activity dependent neuroprotector homeobox,0.513,3.187,0.0142
201785_at,RNASE1,"ribonuclease A family member 1, pancreatic",-0.799,4.234,0.00231
201818_at,LPCAT1,lysophosphatidylcholine acyltransferase 1,0.875,4.842,0.000774
201821_s_at,TIMM17A,translocase of inner mitochondrial membrane 17 homolog A (yeast),1.107,3.576,0.00425
201839_s_at,EPCAM,epithelial cell adhesion molecule,2.46,14.072,4.72E-11
201842_s_at,EFEMP1,EGF containing fibulin like extracellular matrix protein 1,-0.892,4.911,0.000684
201843_s_at,EFEMP1,EGF containing fibulin like extracellular matrix protein 1,-0.736,4.27,0.000684
201872_s_at,ABCE1,ATP binding cassette subfamily E member 1,0.608,3.962,0.00374
201885_s_at,CYB5R3,cytochrome b5 reductase 3,-0.592,3.531,0.00793
201889_at,FAM3C,family with sequence similarity 3 member C,0.574,3.232,0.0131
201890_at,RRM2,ribonucleotide reductase regulatory subunit M2,1.7,8.165,0.00000179
201911_s_at,FARP1,"FERM, ARH/RhoGEF and pleckstrin domain protein 1",0.698,3.873,0.00432
201920_at,SLC20A1,solute carrier family 20 member 1,1.065,5.382,0.000301
201939_at,PLK2,polo like kinase 2,0.795,3.215,0.0135
201940_at,CPD,carboxypeptidase D,0.633,2.809,0.027
201947_s_at,CCT2,chaperonin containing TCP1 subunit 2,1.532,4.843,0.000774
201948_at,GNL2,G protein nucleolar 2,0.484,3.244,0.0128
201951_at,ALCAM,activated leukocyte cell adhesion molecule,0.513,2.443,0.0000805
201952_at,ALCAM,activated leukocyte cell adhesion molecule,1.167,6.101,0.0000805
201963_at,ACSL1,acyl-CoA synthetase long-chain family member 1,-1.361,3.582,0.000584
201970_s_at,NASP,nuclear autoantigenic sperm protein,0.389,2.651,0.0348
201983_s_at,EGFR,epidermal growth factor receptor,-0.986,3.73,0.0056
201999_s_at,DYNLT1,dynein light chain Tctex-type 1,0.566,4.109,0.0029
202003_s_at,ACAA2,acetyl-CoA acyltransferase 2,-1.053,3.947,0.00382
202007_at,NID1,nidogen 1,-0.954,3.342,0.011
202014_at,PPP1R15A,protein phosphatase 1 regulatory subunit 15A,-0.638,4.044,0.00322
202018_s_at,LTF,lactotransferrin,1.947,4.968,0.00062
202023_at,EFNA1,ephrin A1,1.258,5.527,0.000236
202043_s_at,SMS,spermine synthase,0.574,3.885,0.00425
202054_s_at,ALDH3A2,aldehyde dehydrogenase 3 family member A2,-0.861,2.777,0.0284
202071_at,SDC4,syndecan 4,1.022,7.302,0.00000831
202076_at,BIRC2,baculoviral IAP repeat containing 2,0.486,3.571,0.00738
202088_at,SLC39A6,solute carrier family 39 member 6,1.061,6.248,0.0000618
202089_s_at,SLC39A6,solute carrier family 39 member 6,0.857,4.867,0.0000618
202107_s_at,MCM2,minichromosome maintenance complex component 2,0.629,4.41,0.00167
202108_at,PEPD,peptidase D,-0.735,2.424,0.0498
202112_at,VWF,von Willebrand factor,-1.304,4.352,0.00186
202127_at,PRPF4B,pre-mRNA processing factor 4B,0.482,2.497,0.0444
202144_s_at,ADSL,adenylosuccinate lyase,0.526,2.526,0.0424
202157_s_at,CELF2,"CUGBP, Elav-like family member 2",-0.745,3.821,0.00478
202187_s_at,PPP2R5A,protein phosphatase 2 regulatory subunit B'alpha,-0.746,3.379,0.0103
202189_x_at,MIR4745///PTBP1,microRNA 4745///polypyrimidine tract binding protein 1,1.543,5.822,0.000139
202193_at,LIMK2,LIM domain kinase 2,1.522,7.557,0.00000523
202200_s_at,SRPK1,SRSF protein kinase 1,0.687,4.956,0.000632
202202_s_at,LAMA4,laminin subunit alpha 4,-0.841,4.725,0.000967
202207_at,ARL4C,ADP ribosylation factor like GTPase 4C,0.558,3.043,0.0181
202208_s_at,ARL4C,ADP ribosylation factor like GTPase 4C,0.716,2.704,0.0181
202220_at,KIAA0907,KIAA0907,0.678,5.409,0.00029
202223_at,STT3A,"STT3A, catalytic subunit of the oligosaccharyltransferase complex",0.584,2.456,0.0472
202227_s_at,BRD8,bromodomain containing 8,0.576,3.676,0.00616
202228_s_at,NPTN,neuroplastin,0.507,2.687,0.0327
202229_s_at,CHERP,calcium homeostasis endoplasmic reticulum protein,-0.63,2.819,0.0266
202243_s_at,PSMB4,proteasome subunit beta 4,1.483,5.066,0.000524
202246_s_at,CDK4,cyclin dependent kinase 4,0.581,3.434,0.00939
202260_s_at,STXBP1,syntaxin binding protein 1,-0.684,2.471,0.0461
202283_at,SERPINF1,serpin family F member 1,-1.145,3.162,0.0148
202286_s_at,TACSTD2,tumor-associated calcium signal transducer 2,2.716,12.131,1.52E-09
202297_s_at,RER1,retention in endoplasmic reticulum sorting receptor 1,0.702,4.473,0.00149
202307_s_at,TAP1,"transporter 1, ATP binding cassette subfamily B member",0.716,3.624,0.00672
202309_at,MTHFD1,"methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1",-0.593,4.054,0.00317
202310_s_at,COL1A1,collagen type I alpha 1 chain,1.057,2.678,0.00809
202311_s_at,COL1A1,collagen type I alpha 1 chain,1.152,3.517,0.00809
202314_at,LRRD1///CYP51A1,leucine rich repeats and death domain containing 1///cytochrome P450 family 51 subfamily A member 1,0.781,4.578,0.00124
202345_s_at,FABP5,fatty acid binding protein 5,-1.561,3.307,0.0116
202347_s_at,UBE2K,ubiquitin conjugating enzyme E2 K,0.773,2.423,0.0498
202350_s_at,LOC100506558///MATN2,uncharacterized LOC100506558///matrilin 2,-0.782,3.102,0.0164
202357_s_at,CFB,complement factor B,0.756,4.431,0.0016
202375_at,SEC24D,"SEC24 homolog D, COPII coat complex component",1.251,7.679,0.00000421
202376_at,SERPINA3,serpin family A member 3,0.935,6.003,0.0000979
202396_at,TCERG1,transcription elongation regulator 1,0.702,4.934,0.00066
202404_s_at,COL1A2,collagen type I alpha 2 chain,0.73,3.561,0.00752
202413_s_at,USP1,ubiquitin specific peptidase 1,0.829,2.836,0.0259
202421_at,IGSF3,immunoglobulin superfamily member 3,0.771,5.22,0.000412
202437_s_at,CYP1B1,cytochrome P450 family 1 subfamily B member 1,0.647,2.583,0.0388
202439_s_at,IDS,iduronate 2-sulfatase,-0.472,2.837,0.0259
202449_s_at,RXRA,retinoid X receptor alpha,-0.554,3.441,0.00926
202458_at,PRSS23,"protease, serine 23",1.068,3.663,0.00629
202464_s_at,PFKFB3,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3",-1.044,5.028,0.000554
202469_s_at,CPSF6,cleavage and polyadenylation specific factor 6,0.538,3.542,0.00776
202489_s_at,FXYD3,FXYD domain containing ion transport regulator 3,1.38,6.71,0.0000256
202503_s_at,KIAA0101,KIAA0101,0.594,4.856,0.000757
202525_at,PRSS8,"protease, serine 8",0.716,3.121,0.0159
202535_at,FADD,Fas associated via death domain,0.528,2.591,0.0383
202539_s_at,HMGCR,3-hydroxy-3-methylglutaryl-CoA reductase,1.343,5.773,0.000151
202540_s_at,HMGCR,3-hydroxy-3-methylglutaryl-CoA reductase,1.357,5.774,0.000151
202541_at,AIMP1,aminoacyl tRNA synthetase complex interacting multifunctional protein 1,0.793,3.246,0.0128
202546_at,VAMP8,vesicle associated membrane protein 8,0.97,7.476,0.00000611
202551_s_at,LOC101929500///CRIM1,uncharacterized LOC101929500///cysteine rich transmembrane BMP regulator 1,-1.262,4.348,0.00187
202557_at,HSPA13,heat shock protein family A (Hsp70) member 13,0.974,4.174,0.00259
202562_s_at,C14orf1,chromosome 14 open reading frame 1,0.509,2.485,0.0452
202567_at,SNRPD3,small nuclear ribonucleoprotein D3 polypeptide,0.75,3.749,0.00543
202589_at,TYMS,thymidylate synthetase,0.596,3,0.0195
202591_s_at,SSBP1,single stranded DNA binding protein 1,0.719,2.42,0.05
202596_at,ENSA,endosulfine alpha,0.875,3.5,0.00835
202597_at,IRF6,interferon regulatory factor 6,0.419,2.656,0.0345
202603_at,ADAM10,ADAM metallopeptidase domain 10,0.411,2.498,0.0444
202610_s_at,MED14,mediator complex subunit 14,0.641,2.931,0.00457
202611_s_at,MED14,mediator complex subunit 14,1.241,3.843,0.00457
202635_s_at,POLR2K,RNA polymerase II subunit K,0.775,2.791,0.0278
202649_x_at,RPS19,ribosomal protein S19,0.418,2.905,0.0231
202679_at,NPC1,NPC intracellular cholesterol transporter 1,0.393,2.422,0.0499
202704_at,TOB1,"transducer of ERBB2, 1",0.775,3.876,0.0043
202705_at,CCNB2,cyclin B2,0.593,2.435,0.0488
202712_s_at,CKMT1A///CKMT1B,"creatine kinase, mitochondrial 1A///creatine kinase, mitochondrial 1B",0.81,5.311,0.000345
202719_s_at,TES,testin LIM domain protein,0.507,3.944,0.00383
202723_s_at,FOXO1,forkhead box O1,-0.847,3.632,0.00387
202724_s_at,FOXO1,forkhead box O1,-1.028,3.938,0.00387
202732_at,PKIG,"protein kinase (cAMP-dependent, catalytic) inhibitor gamma",-0.971,3.061,0.0176
202755_s_at,GPC1,glypican 1,0.836,2.718,0.0311
202760_s_at,PALM2-AKAP2///AKAP2,PALM2-AKAP2 readthrough///A-kinase anchoring protein 2,-0.753,3.72,0.00568
202763_at,CASP3,caspase 3,0.588,3.267,0.0123
202768_at,FOSB,"FosB proto-oncogene, AP-1 transcription factor subunit",-2.272,10.244,4.09E-08
202782_s_at,INPP5K,inositol polyphosphate-5-phosphatase K,-0.697,4.286,0.0021
202796_at,SYNPO,synaptopodin,-1.01,4.367,0.00181
202800_at,SLC1A3,solute carrier family 1 member 3,-0.847,3.428,0.0095
202850_at,ABCD3,ATP binding cassette subfamily D member 3,0.634,3.2,0.0139
202854_at,HPRT1,hypoxanthine phosphoribosyltransferase 1,0.675,4.635,0.00113
202862_at,FAH,fumarylacetoacetate hydrolase,-0.851,4.028,0.00333
202870_s_at,CDC20,cell division cycle 20,0.803,4.299,0.00204
202871_at,TRAF4,TNF receptor associated factor 4,0.738,2.684,0.0328
202883_s_at,PPP2R1B,protein phosphatase 2 scaffold subunit Abeta,-0.519,3.284,0.0000191
202890_at,MAP7,microtubule associated protein 7,1.93,7.39,0.00000703
202901_x_at,CTSS,cathepsin S,0.674,3.36,0.0106
202909_at,EPM2AIP1,EPM2A interacting protein 1,0.991,3.325,0.0113
202911_at,MSH6,mutS homolog 6,0.835,4.561,0.00127
202912_at,ADM,adrenomedullin,-0.834,4.78,0.000869
202918_s_at,HSPE1-MOB4///MOB4,"HSPE1-MOB4 readthrough///MOB family member 4, phocein",0.89,2.64,0.0354
202931_x_at,BIN1,bridging integrator 1,-1.37,7.584,0.000000339
202935_s_at,SOX9,SRY-box 9,0.859,4.719,0.000974
202936_s_at,SOX9,SRY-box 9,0.544,3.56,0.000974
