ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
200606_at,8.19E-08,1.29E-10,7.43,13.93453,1.13,DSP,desmoplakin
207092_at,8.41E-08,1.36E-10,-7.41,13.88235,-2.87,LEP,leptin
209602_s_at,1.23E-07,2.05E-10,7.32,13.49039,2.81,GATA3,GATA binding protein 3
221928_at,1.44E-07,2.45E-10,-7.28,13.31895,-1.78,ACACB,acetyl-CoA carboxylase beta
214414_x_at,1.54E-07,2.70E-10,-7.26,13.2262,-1.9,HBA2///HBA1,hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
203571_s_at,1.56E-07,2.80E-10,-7.25,13.19345,-2.54,ADIRF,adipogenesis regulatory factor
208510_s_at,1.56E-07,2.88E-10,-7.24,13.16596,-1.81,PPARG,peroxisome proliferator activated receptor gamma
201450_s_at,1.60E-07,3.02E-10,7.23,13.12018,1.4,TIA1,TIA1 cytotoxic granule-associated RNA binding protein
201005_at,1.74E-07,3.35E-10,7.21,13.02033,2.74,CD9,CD9 molecule
204825_at,1.81E-07,3.64E-10,7.19,12.94125,2.2,MELK,maternal embryonic leucine zipper kinase
200944_s_at,1.81E-07,3.65E-10,7.19,12.93777,9.10E-01,LOC101927733///HMGN1,uncharacterized LOC101927733///high mobility group nucleosome binding domain 1
219398_at,2.20E-07,4.55E-10,-7.14,12.72892,-1.19,CIDEC,cell death inducing DFFA like effector c
205913_at,2.43E-07,5.13E-10,-7.11,12.61456,-2.29,PLIN1,perilipin 1
205824_at,2.60E-07,5.59E-10,-7.09,12.53142,-1.28,HSPB2,heat shock protein family B (small) member 2
208650_s_at,2.92E-07,6.57E-10,7.05,12.37699,2.45,CD24,CD24 molecule
205382_s_at,2.92E-07,6.63E-10,-7.05,12.3685,-3.12,CFD,complement factor D
208651_x_at,2.92E-07,6.68E-10,7.05,12.36153,1.2,CD24,CD24 molecule
37117_at,3.30E-07,7.75E-10,7.02,12.22055,1.42,PRR5-ARHGAP8///ARHGAP8,PRR5-ARHGAP8 readthrough///Rho GTPase activating protein 8
209016_s_at,3.30E-07,7.84E-10,7.01,12.20859,2.9,KRT7,keratin 7
218186_at,3.31E-07,8.02E-10,7.01,12.18689,2.05,RAB25,"RAB25, member RAS oncogene family"
218736_s_at,3.36E-07,8.29E-10,-7,12.15574,-1.85,PALMD,palmdelphin
210201_x_at,3.39E-07,8.52E-10,-7,12.12975,-1.37,BIN1,bridging integrator 1
213071_at,3.53E-07,9.04E-10,-6.98,12.07344,-2.6,DPT,dermatopontin
209699_x_at,3.57E-07,9.45E-10,-6.97,12.03075,-2.37,LOC101930400///AKR1C2,"aldo-keto reductase family 1 member C2-like///aldo-keto reductase family 1, member C2"
203548_s_at,3.57E-07,9.58E-10,-6.97,12.01802,-2.75,LPL,lipoprotein lipase
215379_x_at,3.57E-07,9.62E-10,6.97,12.01325,2.59,IGLV1-44,immunoglobulin lambda variable 1-44
216834_at,3.87E-07,1.06E-09,6.95,11.92057,1.84,RGS1,regulator of G-protein signaling 1
213226_at,4.14E-07,1.15E-09,6.93,11.84243,1.03,CCNA2,cyclin A2
201690_s_at,4.80E-07,1.36E-09,6.89,11.68512,1.33,TPD52,tumor protein D52
207121_s_at,4.84E-07,1.39E-09,6.88,11.66202,1.34,MAPK6,mitogen-activated protein kinase 6
209686_at,4.94E-07,1.44E-09,-6.87,11.62873,-1.51,S100B,S100 calcium binding protein B
213068_at,5.09E-07,1.51E-09,-6.86,11.58562,-2.28,DPT,dermatopontin
214063_s_at,5.10E-07,1.53E-09,-6.86,11.56949,-2.47,TF,transferrin
216331_at,5.40E-07,1.66E-09,-6.84,11.49053,-1.54,ITGA7,integrin subunit alpha 7
58780_s_at,5.40E-07,1.67E-09,-6.84,11.48635,-1.84,ARHGEF40,Rho guanine nucleotide exchange factor 40
201417_at,5.41E-07,1.70E-09,6.84,11.47059,2.16,SOX4,SRY-box 4
217028_at,5.64E-07,1.80E-09,6.82,11.41717,1.18,CXCR4,C-X-C motif chemokine receptor 4
204997_at,5.79E-07,1.87E-09,-6.81,11.37838,-2.01,GPD1,glycerol-3-phosphate dehydrogenase 1
218723_s_at,6.78E-07,2.22E-09,-6.77,11.21568,-1.4,RGCC,regulator of cell cycle
219064_at,8.07E-07,2.68E-09,-6.73,11.03567,-1.41,ITIH5,inter-alpha-trypsin inhibitor heavy chain family member 5
218677_at,1.01E-06,3.41E-09,6.68,10.80483,1.25,S100A14,S100 calcium binding protein A14
204719_at,1.07E-06,3.64E-09,-6.66,10.74376,-2.6,ABCA8,ATP binding cassette subfamily A member 8
218502_s_at,1.27E-06,4.39E-09,6.62,10.56571,1.02,TRPS1,transcriptional repressor GATA binding 1
212282_at,1.35E-06,4.74E-09,6.6,10.49149,1.57,TMEM97,transmembrane protein 97
214093_s_at,1.35E-06,4.80E-09,6.6,10.48032,1.43,FUBP1,far upstream element binding protein 1
212886_at,1.42E-06,5.10E-09,-6.58,10.42153,-2.31,CCDC69,coiled-coil domain containing 69
203853_s_at,1.45E-06,5.29E-09,-6.57,10.38774,-1.04,GAB2,GRB2 associated binding protein 2
206243_at,1.46E-06,5.36E-09,-6.57,10.37393,-2.07,TIMP4,TIMP metallopeptidase inhibitor 4
203917_at,1.55E-06,5.77E-09,6.55,10.3049,1.47,CXADR,coxsackie virus and adenovirus receptor
216894_x_at,1.64E-06,6.19E-09,-6.54,10.23711,-1.45,CDKN1C,cyclin dependent kinase inhibitor 1C
201890_at,1.79E-06,6.83E-09,6.51,10.14329,1.7,RRM2,ribonucleotide reductase regulatory subunit M2
209614_at,1.88E-06,7.25E-09,-6.5,10.0867,-1.64,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide"
209138_x_at,2.04E-06,7.97E-09,6.48,9.99604,1.86,IGLC1,immunoglobulin lambda constant 1
203358_s_at,2.04E-06,8.04E-09,6.48,9.98813,1.47,EZH2,enhancer of zeste 2 polycomb repressive complex 2 subunit
33322_i_at,2.23E-06,9.06E-09,6.45,9.87413,9.09E-01,SFN,stratifin
209581_at,2.23E-06,9.10E-09,-6.45,9.86971,-1.82,PLA2G16,phospholipase A2 group XVI
203812_at,2.23E-06,9.12E-09,-6.45,9.86817,-1.12,SLIT3,slit guidance ligand 3
203980_at,2.32E-06,9.59E-09,-6.44,9.8204,-1.71,FABP4,fatty acid binding protein 4
207175_at,2.33E-06,9.73E-09,-6.43,9.80586,-1.7,ADIPOQ,"adiponectin, C1Q and collagen domain containing"
208029_s_at,2.44E-06,1.03E-08,6.42,9.75276,1.75,LAPTM4B,lysosomal protein transmembrane 4 beta
205022_s_at,2.64E-06,1.13E-08,-6.4,9.66551,-1.79,FOXN3,forkhead box N3
203065_s_at,2.77E-06,1.19E-08,-6.38,9.61226,-2.01,CAV1,caveolin 1
204570_at,2.86E-06,1.25E-08,-6.37,9.56645,-2.12,COX7A1,cytochrome c oxidase subunit 7A1
204894_s_at,2.86E-06,1.26E-08,-6.37,9.55655,-1.64,AOC3,"amine oxidase, copper containing 3"
212112_s_at,2.86E-06,1.27E-08,-6.37,9.55288,-1.13,STX12,syntaxin 12
218499_at,2.91E-06,1.30E-08,6.36,9.52687,1.01,STK26,serine/threonine protein kinase 26
205968_at,3.19E-06,1.45E-08,6.34,9.42465,1.36,KCNS3,potassium voltage-gated channel modifier subfamily S member 3
201243_s_at,3.19E-06,1.46E-08,6.34,9.41814,1.1,ATP1B1,ATPase Na+/K+ transporting subunit beta 1
214505_s_at,3.28E-06,1.51E-08,-6.33,9.38442,-1.64,FHL1,four and a half LIM domains 1
201448_at,3.31E-06,1.55E-08,6.32,9.3631,1.89,TIA1,TIA1 cytotoxic granule-associated RNA binding protein
214677_x_at,3.31E-06,1.56E-08,6.32,9.35657,2.51,IGLC1,immunoglobulin lambda constant 1
209493_at,3.57E-06,1.70E-08,-6.3,9.275,-1.37,PDZD2,PDZ domain containing 2
213605_s_at,3.57E-06,1.71E-08,6.3,9.26697,1.95,,
204151_x_at,3.64E-06,1.76E-08,-6.29,9.2399,-1.56,AKR1C1,aldo-keto reductase family 1 member C1
211653_x_at,3.90E-06,1.91E-08,-6.27,9.16435,-2.24,LOC101930400///AKR1C2,"aldo-keto reductase family 1 member C2-like///aldo-keto reductase family 1, member C2"
221747_at,4.21E-06,2.08E-08,-6.25,9.08028,-1.23,TNS1,tensin 1
202375_at,4.21E-06,2.09E-08,6.25,9.0751,1.25,SEC24D,"SEC24 homolog D, COPII coat complex component"
206093_x_at,4.50E-06,2.26E-08,-6.23,9.00301,-1.54,TNXB///TNXA,tenascin XB///tenascin XA (pseudogene)
209183_s_at,4.72E-06,2.39E-08,-6.22,8.94784,-1.77,C10orf10,chromosome 10 open reading frame 10
210046_s_at,4.73E-06,2.42E-08,6.22,8.93768,1.45,IDH2,"isocitrate dehydrogenase (NADP(+)) 2, mitochondrial"
202931_x_at,5.05E-06,2.60E-08,-6.2,8.8674,-1.37,BIN1,bridging integrator 1
205709_s_at,5.16E-06,2.69E-08,6.19,8.83829,1.4,CDS1,CDP-diacylglycerol synthase 1
204223_at,5.20E-06,2.73E-08,-6.19,8.82177,-1.54,PRELP,proline and arginine rich end leucine rich repeat protein
202193_at,5.23E-06,2.77E-08,6.19,8.80829,1.52,LIMK2,LIM domain kinase 2
1007_s_at,5.29E-06,2.82E-08,6.18,8.79029,7.92E-01,MIR4640///DDR1,microRNA 4640///discoidin domain receptor tyrosine kinase 1
204134_at,5.69E-06,3.07E-08,-6.16,8.71216,-1.19,PDE2A,phosphodiesterase 2A
214297_at,6.11E-06,3.33E-08,-6.14,8.63239,-1.29,CSPG4,chondroitin sulfate proteoglycan 4
202546_at,6.11E-06,3.34E-08,6.14,8.62935,9.70E-01,VAMP8,vesicle associated membrane protein 8
213518_at,6.18E-06,3.41E-08,6.14,8.61004,1.44,PRKCI,protein kinase C iota
203215_s_at,6.42E-06,3.57E-08,6.13,8.56617,1.54,MYO6,myosin VI
203038_at,6.56E-06,3.68E-08,6.12,8.53892,8.43E-01,PTPRK,"protein tyrosine phosphatase, receptor type K"
209160_at,6.78E-06,3.83E-08,-6.11,8.49902,-2.45,AKR1C3,"aldo-keto reductase family 1, member C3"
201465_s_at,6.78E-06,3.87E-08,-6.11,8.49135,-1.96,JUN,"Jun proto-oncogene, AP-1 transcription factor subunit"
220061_at,6.84E-06,3.93E-08,-6.1,8.47558,-1.39,ACSM5,acyl-CoA synthetase medium-chain family member 5
202890_at,7.03E-06,4.07E-08,6.09,8.44176,1.93,MAP7,microtubule associated protein 7
210078_s_at,7.74E-06,4.51E-08,-6.07,8.3437,-1.27,KCNAB1,potassium voltage-gated channel subfamily A member regulatory beta subunit 1
213175_s_at,7.77E-06,4.57E-08,6.07,8.33253,1.71,SNRPB,small nuclear ribonucleoprotein polypeptides B and B1
213486_at,8.13E-06,4.85E-08,-6.05,8.27611,-1.19,COPG2IT1,COPG2 imprinted transcript 1 (non-protein coding)
206030_at,8.13E-06,4.85E-08,-6.05,8.27501,-1.71,ASPA,aspartoacylase
202071_at,8.31E-06,4.99E-08,6.05,8.2473,1.02,SDC4,syndecan 4
204159_at,8.44E-06,5.11E-08,-6.04,8.22468,-1.77,CDKN2C,cyclin dependent kinase inhibitor 2C
213706_at,8.44E-06,5.15E-08,-6.04,8.21739,-1.99,GPD1,glycerol-3-phosphate dehydrogenase 1
204162_at,9.04E-06,5.56E-08,6.02,8.14532,1.74,NDC80,"NDC80, kinetochore complex component"
209116_x_at,9.36E-06,5.80E-08,-6.01,8.10543,-2.83,HBB,hemoglobin subunit beta
209298_s_at,1.00E-05,6.30E-08,-5.99,8.02673,-2.14,ITSN1,intersectin 1
203549_s_at,1.00E-05,6.32E-08,-5.99,8.0228,-1.13,LPL,lipoprotein lipase
209612_s_at,1.00E-05,6.32E-08,-5.99,8.02245,-1.77,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide"
208737_at,1.06E-05,6.75E-08,5.97,7.96052,1.23,ATP6V1G1,ATPase H+ transporting V1 subunit G1
208383_s_at,1.20E-05,7.74E-08,-5.94,7.8301,-2.31,PCK1,phosphoenolpyruvate carboxykinase 1
201664_at,1.20E-05,7.76E-08,5.94,7.8272,1.57,SMC4,structural maintenance of chromosomes 4
218009_s_at,1.26E-05,8.20E-08,5.93,7.77488,1.88,PRC1,protein regulator of cytokinesis 1
211745_x_at,1.26E-05,8.24E-08,-5.93,7.77054,-2.34,HBA2///HBA1,hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
203213_at,1.26E-05,8.33E-08,5.92,7.76022,1.37,CDK1,cyclin dependent kinase 1
209555_s_at,1.28E-05,8.47E-08,-5.92,7.74412,-2.13,CD36,CD36 molecule
209173_at,1.33E-05,8.93E-08,5.91,7.69446,2.73,AGR2,"anterior gradient 2, protein disulphide isomerase family member"
213524_s_at,1.42E-05,9.53E-08,-5.89,7.63259,-1.24,G0S2,G0/G1 switch 2
204351_at,1.47E-05,9.97E-08,5.88,7.58938,1.47,S100P,S100 calcium binding protein P
203323_at,1.54E-05,1.05E-07,-5.87,7.54199,-1.17,CAV2,caveolin 2
209616_s_at,1.60E-05,1.10E-07,-5.86,7.49977,-1.47,LOC100653057///CES1,liver carboxylesterase 1-like///carboxylesterase 1
212219_at,1.63E-05,1.13E-07,5.85,7.47039,1.54,PSME4,proteasome activator subunit 4
209512_at,1.64E-05,1.15E-07,-5.85,7.45663,-1.33,HSDL2,hydroxysteroid dehydrogenase like 2
201202_at,1.64E-05,1.15E-07,5.85,7.45498,1.26,PCNA,proliferating cell nuclear antigen
209008_x_at,1.64E-05,1.16E-07,5.84,7.44675,1.14,KRT8,keratin 8
222351_at,1.91E-05,1.35E-07,-5.81,7.29868,-1.44,PPP2R1B,protein phosphatase 2 scaffold subunit Abeta
213451_x_at,1.95E-05,1.39E-07,-5.8,7.27361,-1.36,TNXB///TNXA,tenascin XB///tenascin XA (pseudogene)
221748_s_at,2.00E-05,1.44E-07,-5.79,7.24124,-1.08,TNS1,tensin 1
216594_x_at,2.00E-05,1.45E-07,-5.79,7.2345,-1.31,AKR1C1,aldo-keto reductase family 1 member C1
206488_s_at,2.01E-05,1.46E-07,-5.79,7.22328,-1.48,CD36,CD36 molecule
201761_at,2.01E-05,1.47E-07,5.79,7.21915,1.4,MTHFD2,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase"
213221_s_at,2.10E-05,1.55E-07,-5.78,7.17233,-1.23,SIK2,salt inducible kinase 2
209613_s_at,2.14E-05,1.58E-07,-5.77,7.15011,-2.19,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide"
214439_x_at,2.23E-05,1.67E-07,-5.76,7.09902,-1.2,BIN1,bridging integrator 1
213502_x_at,2.23E-05,1.67E-07,5.76,7.09564,1.98,GUSBP11,"glucuronidase, beta pseudogene 11"
206385_s_at,2.43E-05,1.83E-07,5.73,7.00992,1.45,ANK3,"ankyrin 3, node of Ranvier (ankyrin G)"
201136_at,2.54E-05,1.93E-07,5.72,6.96224,9.48E-01,PLP2,proteolipid protein 2
202489_s_at,2.56E-05,1.95E-07,5.72,6.95066,1.38,FXYD3,FXYD domain containing ion transport regulator 3
65718_at,2.62E-05,2.01E-07,-5.71,6.92214,-9.01E-01,ADGRA2,adhesion G protein-coupled receptor A2
206201_s_at,2.62E-05,2.03E-07,-5.71,6.91307,-2.34,MEOX2,mesenchyme homeobox 2
211946_s_at,2.62E-05,2.03E-07,5.71,6.91209,1.06,PRRC2C,proline rich coiled-coil 2C
204653_at,2.73E-05,2.13E-07,5.7,6.86671,1.09,TFAP2A,transcription factor AP-2 alpha
219209_at,2.75E-05,2.16E-07,5.69,6.85463,1.3,IFIH1,interferon induced with helicase C domain 1
203693_s_at,2.79E-05,2.20E-07,5.69,6.83567,1.27,E2F3,E2F transcription factor 3
203397_s_at,2.83E-05,2.25E-07,5.68,6.81676,1.59,GALNT3,polypeptide N-acetylgalactosaminyltransferase 3
209603_at,3.18E-05,2.54E-07,5.65,6.69901,1.72,GATA3,GATA binding protein 3
215121_x_at,3.31E-05,2.66E-07,5.64,6.65632,1.76,CYAT1///IGLV1-44///IGLC1,immunoglobulin lambda light chain-like///immunoglobulin lambda variable 1-44///immunoglobulin lambda constant 1
221024_s_at,3.40E-05,2.74E-07,5.64,6.62647,1.61,SLC2A10,solute carrier family 2 member 10
204419_x_at,3.41E-05,2.78E-07,-5.63,6.6154,-1.7,HBG2///HBG1,hemoglobin subunit gamma 2///hemoglobin subunit gamma 1
201689_s_at,3.41E-05,2.78E-07,5.63,6.61309,1.52,TPD52,tumor protein D52
213247_at,3.43E-05,2.82E-07,-5.63,6.60053,-1.04,SVEP1,"sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1"
221651_x_at,3.54E-05,2.92E-07,5.62,6.56738,1.26,IGK///IGKC,immunoglobulin kappa locus///immunoglobulin kappa constant
213933_at,3.55E-05,2.94E-07,-5.62,6.55954,-1.37,PTGER3,prostaglandin E receptor 3
209458_x_at,3.95E-05,3.30E-07,-5.59,6.45082,-2.17,HBA2///HBA1,hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
201363_s_at,4.02E-05,3.38E-07,5.59,6.42936,1.31,IVNS1ABP,influenza virus NS1A binding protein
213005_s_at,4.12E-05,3.47E-07,-5.58,6.40267,-8.59E-01,KANK1,KN motif and ankyrin repeat domains 1
217771_at,4.17E-05,3.53E-07,5.57,6.38575,1.38,GOLM1,golgi membrane protein 1
209496_at,4.36E-05,3.72E-07,-5.56,6.33775,-1.93,RARRES2,retinoic acid receptor responder 2
218175_at,4.42E-05,3.79E-07,-5.56,6.31912,-1.41,CCDC92,coiled-coil domain containing 92
215946_x_at,4.89E-05,4.22E-07,5.53,6.21792,1.21,IGLL3P,"immunoglobulin lambda like polypeptide 3, pseudogene"
217414_x_at,4.96E-05,4.30E-07,-5.53,6.19967,-1.54,HBA2///HBA1,hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
211696_x_at,5.10E-05,4.44E-07,-5.52,6.17001,-1.37,HBB,hemoglobin subunit beta
213764_s_at,5.47E-05,4.79E-07,-5.5,6.09765,-2.37,MFAP5,microfibrillar associated protein 5
212036_s_at,5.48E-05,4.82E-07,5.5,6.09038,1.31,PNN,"pinin, desmosome associated protein"
217794_at,5.65E-05,5.00E-07,5.49,6.05665,1.34,PRR13,proline rich 13
212464_s_at,5.67E-05,5.04E-07,5.49,6.04879,1.7,FN1,fibronectin 1
37892_at,5.82E-05,5.19E-07,5.48,6.02031,2.2,COL11A1,collagen type XI alpha 1 chain
213364_s_at,5.90E-05,5.29E-07,-5.48,6.00227,-1.15,SNX1,sorting nexin 1
201348_at,5.92E-05,5.34E-07,-5.47,5.99309,-1.18,GPX3,glutathione peroxidase 3
212460_at,6.02E-05,5.46E-07,5.47,5.97287,8.95E-01,SPTSSA,serine palmitoyltransferase small subunit A
218313_s_at,6.18E-05,5.64E-07,5.46,5.94159,1.14,GALNT7,polypeptide N-acetylgalactosaminyltransferase 7
202088_at,6.18E-05,5.65E-07,5.46,5.93965,1.06,SLC39A6,solute carrier family 39 member 6
213913_s_at,6.18E-05,5.69E-07,5.46,5.93419,1.33,TBC1D30,TBC1 domain family member 30
203721_s_at,6.33E-05,5.87E-07,5.45,5.90373,8.30E-01,UTP18,"UTP18, small subunit processome component"
204326_x_at,6.33E-05,5.88E-07,-5.45,5.90235,-1,MT1X,metallothionein 1X
205498_at,6.37E-05,5.94E-07,-5.45,5.89237,-9.29E-01,GHR,growth hormone receptor
202963_at,6.96E-05,6.53E-07,5.42,5.80321,1.15,RFX5,regulatory factor X5
214614_at,7.07E-05,6.67E-07,5.42,5.78312,1.62,MNX1,motor neuron and pancreas homeobox 1
219028_at,7.44E-05,7.04E-07,-5.4,5.73107,-1.45,HIPK2,homeodomain interacting protein kinase 2
204731_at,7.53E-05,7.17E-07,-5.4,5.71466,-1.49,TGFBR3,transforming growth factor beta receptor 3
201242_s_at,7.68E-05,7.34E-07,5.39,5.69224,1.18,ATP1B1,ATPase Na+/K+ transporting subunit beta 1
213793_s_at,7.70E-05,7.43E-07,5.39,5.67982,1.51,HOMER1,homer scaffolding protein 1
219913_s_at,7.70E-05,7.44E-07,5.39,5.67971,1.34,CRNKL1,crooked neck pre-mRNA splicing factor 1
203435_s_at,7.70E-05,7.47E-07,-5.39,5.67568,-9.06E-01,MME,membrane metallo-endopeptidase
209360_s_at,7.87E-05,7.69E-07,5.38,5.64822,1.5,LOC101928269///LOC100506403///RUNX1,uncharacterized LOC101928269///uncharacterized LOC100506403///runt related transcription factor 1
204042_at,7.87E-05,7.70E-07,-5.38,5.6466,-8.70E-01,WASF3,WAS protein family member 3
201952_at,8.05E-05,7.93E-07,5.38,5.61818,1.17,ALCAM,activated leukocyte cell adhesion molecule
205559_s_at,8.05E-05,7.97E-07,-5.37,5.61374,-1.64,PCSK5,proprotein convertase subtilisin/kexin type 5
219117_s_at,8.05E-05,7.99E-07,5.37,5.61161,1.81,FKBP11,FK506 binding protein 11
212419_at,8.52E-05,8.49E-07,-5.36,5.55414,-1.15,ZCCHC24,zinc finger CCHC-type containing 24
218625_at,8.54E-05,8.55E-07,-5.36,5.5471,-1.1,NRN1,neuritin 1
201719_s_at,8.56E-05,8.61E-07,-5.35,5.54106,-1.18,EPB41L2,erythrocyte membrane protein band 4.1 like 2
205303_at,9.79E-05,9.90E-07,-5.32,5.40783,-8.85E-01,KCNJ8,potassium voltage-gated channel subfamily J member 8
202376_at,9.79E-05,9.93E-07,5.32,5.40536,9.35E-01,SERPINA3,serpin family A member 3
209605_at,9.95E-05,1.01E-06,-5.31,5.38558,-1.27,TST,thiosulfate sulfurtransferase
221922_at,1.05E-04,1.08E-06,5.3,5.32385,1.08,GPSM2,G-protein signaling modulator 2
213348_at,1.05E-04,1.08E-06,-5.3,5.32347,-8.85E-01,CDKN1C,cyclin dependent kinase inhibitor 1C
200878_at,1.05E-04,1.09E-06,-5.3,5.31543,-1.54,EPAS1,endothelial PAS domain protein 1
203324_s_at,1.05E-04,1.09E-06,-5.3,5.31403,-1.62,CAV2,caveolin 2
212446_s_at,1.06E-04,1.10E-06,5.29,5.30792,9.56E-01,CERS6,ceramide synthase 6
201340_s_at,1.07E-04,1.12E-06,5.29,5.28978,1.37,ENC1,ectodermal-neural cortex 1
221691_x_at,1.08E-04,1.13E-06,5.29,5.28351,1.11,NPM1,nucleophosmin
209763_at,1.10E-04,1.16E-06,-5.28,5.25746,-9.31E-01,CHRDL1,chordin like 1
218189_s_at,1.17E-04,1.24E-06,5.26,5.19779,1.22,NANS,N-acetylneuraminate synthase
201479_at,1.20E-04,1.27E-06,5.26,5.16879,8.50E-01,MIR664B///SNORA56///DKC1,"microRNA 664b///small nucleolar RNA, H/ACA box 56///dyskerin pseudouridine synthase 1"
218640_s_at,1.22E-04,1.31E-06,5.25,5.14617,1.06,PLEKHF2,pleckstrin homology and FYVE domain containing 2
212116_at,1.30E-04,1.40E-06,5.23,5.08039,1.06,TRIM27,tripartite motif containing 27
218585_s_at,1.35E-04,1.46E-06,5.22,5.04108,9.86E-01,DTL,denticleless E3 ubiquitin protein ligase homolog
202189_x_at,1.39E-04,1.51E-06,5.21,5.01007,1.54,MIR4745///PTBP1,microRNA 4745///polypyrimidine tract binding protein 1
204026_s_at,1.45E-04,1.57E-06,5.2,4.96906,8.64E-01,ZWINT,ZW10 interacting kinetochore protein
201762_s_at,1.46E-04,1.59E-06,5.2,4.96072,8.69E-01,MIR7703///PSME2,microRNA 7703///proteasome activator subunit 2
211719_x_at,1.46E-04,1.60E-06,5.2,4.95252,2.16,FN1,fibronectin 1
200608_s_at,1.50E-04,1.66E-06,5.19,4.92016,9.19E-01,RAD21,RAD21 cohesin complex component
218053_at,1.50E-04,1.66E-06,5.19,4.91892,7.21E-01,PRPF40A,pre-mRNA processing factor 40 homolog A
201327_s_at,1.50E-04,1.66E-06,5.19,4.91679,8.66E-01,CCT6A,chaperonin containing TCP1 subunit 6A
